[MAP]
name = circles (4 hunters)
players = 4
width = 800
height = 800

[STATIONS]
 1, 750, 400, 1, 1
 2, 743, 332, 0, 0
 3, 723, 266, 0, 1
 4, 691, 206, 0, 0
 5, 647, 153, 1, 1
 6, 594, 109, 0, 0
 7, 534,  77, 0, 1
 8, 468,  57, 0, 0
 9, 400,  50, 1, 1
10, 332,  57, 0, 0
11, 266,  77, 0, 1
12, 206, 109, 0, 0
13, 153, 153, 1, 1
14, 109, 206, 0, 0
15,  77, 266, 0, 1
16,  57, 332, 0, 0
17,  50, 400, 1, 1
18,  57, 468, 0, 0
19,  77, 534, 0, 1
20, 109, 594, 0, 0
21, 153, 647, 1, 1
22, 206, 691, 0, 0
23, 266, 723, 0, 1
24, 332, 743, 0, 0
25, 400, 750, 1, 1
26, 468, 743, 0, 0
27, 534, 723, 0, 1
28, 594, 691, 0, 0
29, 647, 647, 1, 1
30, 691, 594, 0, 0
31, 723, 534, 0, 1
32, 743, 468, 0, 0

33, 650, 400, 1, 1
34, 631, 304, 0, 1
35, 577, 223, 0, 1
36, 496, 169, 0, 1
37, 400, 150, 1, 1
38, 304, 169, 0, 1
39, 223, 223, 0, 1
40, 169, 304, 0, 1
41, 150, 400, 1, 1
42, 169, 496, 0, 1
43, 223, 577, 0, 1
44, 304, 631, 0, 1
45, 400, 650, 1, 1
46, 496, 631, 0, 1
47, 577, 577, 0, 1
48, 631, 496, 0, 1

49, 550, 400, 0, 1
50, 506, 294, 1, 1
51, 400, 250, 0, 1
52, 294, 294, 1, 1
53, 250, 400, 0, 1
54, 294, 506, 1, 1
55, 400, 550, 0, 1
56, 506, 506, 1, 1

57, 450, 400, 0, 1
58, 400, 350, 0, 1
59, 350, 400, 0, 1
60, 400, 450, 0, 1

[ROUTES]
taxi,  1,  2
taxi,  2,  3
taxi,  3,  4
taxi,  4,  5
taxi,  5,  6
taxi,  6,  7
taxi,  7,  8
taxi,  8,  9
taxi,  9, 10
taxi, 10, 11
taxi, 11, 12
taxi, 12, 13
taxi, 13, 14
taxi, 14, 15
taxi, 15, 16
taxi, 16, 17
taxi, 17, 18
taxi, 18, 19
taxi, 19, 20
taxi, 20, 21
taxi, 21, 22
taxi, 22, 23
taxi, 23, 24
taxi, 24, 25
taxi, 25, 26
taxi, 26, 27
taxi, 27, 28
taxi, 28, 29
taxi, 29, 30
taxi, 30, 31
taxi, 31, 32
taxi, 32,  1

taxi, 33, 34
taxi, 34, 35
taxi, 35, 36
taxi, 36, 37
taxi, 37, 38
taxi, 38, 39
taxi, 39, 40
taxi, 40, 41
taxi, 41, 42
taxi, 42, 43
taxi, 43, 44
taxi, 44, 45
taxi, 45, 46
taxi, 46, 47
taxi, 47, 48
taxi, 48, 33

taxi, 49, 50
taxi, 50, 51
taxi, 51, 52
taxi, 52, 53
taxi, 53, 54
taxi, 54, 55
taxi, 55, 56
taxi, 56, 49

taxi, 57, 58
taxi, 58, 59
taxi, 59, 60
taxi, 60, 57

taxi, 57, 59
taxi, 58, 60

bus,  1, 33
bus, 33, 49
bus, 49, 57
bus,  9, 37
bus, 37, 51
bus, 51, 58
bus, 17, 41
bus, 41, 53
bus, 53, 59
bus, 25, 45
bus, 45, 55
bus, 55, 60
bus,  5, 35
bus, 35, 50
bus, 13, 39
bus, 39, 52
bus, 21, 43
bus, 43, 54
bus, 29, 47
bus, 47, 56
bus,  3, 34
bus,  7, 36
bus, 11, 38
bus, 15, 40
bus, 19, 42
bus, 23, 44
bus, 27, 46
bus, 31, 48

ubahn,  1,  5,  2,  3,  4
ubahn,  5,  9,  6,  7,  8
ubahn,  9, 13, 10, 11, 12
ubahn, 13, 17, 14, 15, 16
ubahn, 17, 21, 18, 19, 20
ubahn, 21, 25, 22, 23, 24
ubahn, 25, 29, 26, 27, 28
ubahn, 29,  1, 30, 31, 32
ubahn, 33, 37, 34, 35, 36
ubahn, 37, 41, 38, 39, 40
ubahn, 41, 45, 42, 43, 44
ubahn, 45, 33, 46, 47, 48
ubahn, 50, 52, 51
ubahn, 52, 54, 53
ubahn, 54, 56, 55
ubahn, 56, 50, 49

black, 52, 56
black, 50, 54

[AIMS]
10, 10
42, 10
56, 10
25, 10
58, 10
 3, 10
15, 10
36, 10
31, 10
